"name","gender","birthday","state","party","class","start","end"
"Walker Brooke","M","1813-12-25","MS","Whig",2,1852-01-01,1853-03-03
"Charles Cathcart","M","1809-07-24","IN","Democrat",3,1852-01-01,1853-12-31
"Robert Charlton","M","1807-01-19","GA","Democrat",2,1852-01-01,1853-03-03
"William De Saussure","M","1792-02-22","SC","Democrat",2,1852-01-01,1853-03-03
"Archibald Dixon","M","1802-04-02","KY","Whig",3,1852-01-01,1855-03-03
"David Meriwether","M","1800-10-30","KY","Democrat",3,1852-01-01,1853-03-03
"Isaac Toucey","M","1792-11-15","CT","Democrat",1,1852-01-01,1857-03-03
"John Weller","M","1812-02-22","CA","Democrat",1,1852-01-01,1857-03-03
"Franklin Pierce","M","1804-11-23","NH","Democrat",3,1837-09-04,1843-03-03
"Philip Allen","M","1785-09-01","RI","Democrat",2,1853-12-05,1859-03-03
"Charles Atherton","M","1804-07-04","NH","Democrat",3,1843-12-04,1849-03-03
"Charles Atherton","M","1804-07-04","NH","Democrat",2,1853-12-05,1853-12-31
"John Bell","M","1796-02-18","TN","Whig",2,1847-12-06,1853-03-03
"John Bell","M","1796-02-18","TN","American",2,1853-12-05,1859-03-03
"Thomas Benton","M","1782-03-14","MO","Jackson",1,1821-12-03,1827-03-03
"Thomas Benton","M","1782-03-14","MO","Jackson",1,1827-12-03,1833-03-03
"Thomas Benton","M","1782-03-14","MO","Democrat",1,1833-12-02,1839-03-03
"Thomas Benton","M","1782-03-14","MO","Democrat",1,1839-12-02,1845-03-03
"Thomas Benton","M","1782-03-14","MO","Democrat",1,1845-12-01,1851-03-03
"Dudley Chase","M","1771-12-30","VT","Republican",3,1813-05-24,1817-12-31
"Dudley Chase","M","1771-12-30","VT","Adams",3,1825-12-05,1831-03-03
"John Clayton","M","1796-07-24","DE","",2,1829-12-07,1835-03-03
"John Clayton","M","1796-07-24","DE","",2,1835-12-07,1837-03-03
"John Clayton","M","1796-07-24","DE","Whig",1,1845-12-01,1849-12-31
"John Clayton","M","1796-07-24","DE","Ind. Republican-Democrat",2,1853-12-05,1857-03-03
"Josiah Evans","M","1786-11-27","SC","Democrat",2,1853-12-05,1859-03-03
"Edward Everett","M","1794-04-11","MA","Whig",2,1853-12-05,1855-03-03
"Samuel Houston","M","1793-03-02","TX","Democrat",2,1846-01-01,1853-03-03
"Samuel Houston","M","1793-03-02","TX","American",2,1853-12-05,1859-03-03
"George Jones","M","1804-04-12","IA","Democrat",2,1848-01-01,1853-03-03
"George Jones","M","1804-04-12","IA","Democrat",2,1853-12-05,1859-03-03
"John Pettit","M","1807-06-24","IN","Democrat",3,1853-12-05,1855-03-03
"Samuel Phelps","M","1793-05-13","VT","Whig",1,1839-12-02,1845-03-03
"Samuel Phelps","M","1793-05-13","VT","Whig",1,1845-12-01,1851-03-03
"Samuel Phelps","M","1793-05-13","VT","Whig",3,1853-12-05,1855-03-03
"Charles Stuart","M","1810-11-25","MI","Democrat",2,1853-12-05,1859-03-03
"John Thompson","M","1810-12-14","KY","American",2,1853-12-05,1859-03-03
"Jared Williams","M","1796-12-22","NH","Democrat",2,1853-12-05,1855-03-03
"Lawrence Brainerd","M","1794-03-16","VT","Free Soil",3,1854-01-01,1855-03-03
"Francis Gillette","M","1807-12-14","CT","Free Soil",3,1854-01-01,1855-03-03
"David Reid","M","1813-04-19","NC","Democrat",2,1854-01-01,1859-03-03
"Julius Rockwell","M","1805-04-26","MA","Whig",2,1854-01-01,1855-12-31
"James Bell","M","1804-11-13","NH","Republican",3,1855-12-03,1857-12-31
"Asa Biggs","M","1811-02-04","NC","Democrat",3,1855-12-03,1859-03-03
"Andrew Butler","M","1796-11-18","SC","Democrat",3,1846-01-01,1849-03-03
"Andrew Butler","M","1796-11-18","SC","Democrat",3,1849-12-03,1855-03-03
"Andrew Butler","M","1796-11-18","SC","Democrat",3,1855-12-03,1857-12-31
"Charles Durkee","M","1805-12-10","WI","Republican",3,1855-12-03,1861-03-03
"Benjamin Fitzpatrick","M","1802-06-30","AL","Democrat",2,1848-01-01,1849-12-31
"Benjamin Fitzpatrick","M","1802-06-30","AL","Democrat",3,1853-12-05,1855-03-03
"Benjamin Fitzpatrick","M","1802-06-30","AL","Democrat",3,1855-12-03,1861-03-03
"Alfred Iverson","M","1798-12-03","GA","Democrat",3,1855-12-03,1861-03-03
"Robert Johnson","M","1814-07-22","AR","Democrat",3,1853-12-05,1855-03-03
"Robert Johnson","M","1814-07-22","AR","Democrat",3,1855-12-03,1861-03-03
"George Pugh","M","1822-11-28","OH","Democrat",3,1855-12-03,1861-03-03
"William Seward","M","1801-05-16","NY","Whig",3,1849-12-03,1855-03-03
"William Seward","M","1801-05-16","NY","Republican",3,1855-12-03,1861-03-03
"John Slidell","M","","LA","Democrat",3,1853-12-05,1855-03-03
"John Slidell","M","","LA","Democrat",3,1855-12-03,1861-03-03
"John Wells","M","1803-10-18","NH","Democrat",3,1855-12-03,1855-12-31
"David Yulee","M","1810-06-12","FL","Democrat",1,1845-12-01,1851-03-03
"David Yulee","M","1810-06-12","FL","Democrat",3,1855-12-03,1861-03-03
"William Bigler","M","1814-01-01","PA","Democrat",3,1856-01-01,1861-03-03
"Joseph Comegys","M","1813-12-29","DE","Ind. Republican-Democrat",2,1856-01-01,1857-12-31
"James Buchanan","M","1791-04-23","PA","Jackson",3,1834-01-01,1837-03-03
"James Buchanan","M","1791-04-23","PA","Democrat",3,1837-09-04,1843-03-03
"James Buchanan","M","1791-04-23","PA","Democrat",3,1843-12-04,1845-12-31
"Martin Bates","M","1786-02-24","DE","Democrat",2,1857-12-07,1859-03-03
"Jesse Bright","M","1812-12-18","IN","Democrat",1,1845-12-01,1851-03-03
"Jesse Bright","M","1812-12-18","IN","Democrat",1,1851-12-01,1857-03-03
"Jesse Bright","M","1812-12-18","IN","Democrat",1,1857-12-07,1863-03-03
"David Broderick","M","1820-02-04","CA","Democrat",1,1857-12-07,1859-12-31
"Jefferson Davis","M","1808-06-03","MS","Democrat",1,1847-12-06,1851-03-03
"Jefferson Davis","M","1808-06-03","MS","Democrat",1,1857-12-07,1861-12-31
"Graham Fitch","M","1809-12-05","IN","Democrat",3,1857-12-07,1861-03-03
"James Green","M","1817-02-28","MO","Democrat",3,1857-12-07,1861-03-03
"William Gwin","M","1805-10-09","CA","Democrat",3,1850-09-10,1855-03-03
"William Gwin","M","1805-10-09","CA","Democrat",3,1857-12-07,1861-03-03
"James Hammond","M","1807-11-15","SC","Democrat",3,1857-12-07,1861-03-03
"James Henderson","M","1808-03-31","TX","Democrat",1,1857-12-07,1859-03-03
"Anthony Kennedy","M","1810-12-21","MD","Unionist",1,1857-12-07,1863-03-03
"Preston King","M","1806-10-14","NY","Republican",1,1857-12-07,1863-03-03
"Stephen Mallory","M","","FL","Democrat",1,1851-12-01,1857-03-03
"Stephen Mallory","M","","FL","Democrat",1,1857-12-07,1861-01-21
"James Mason","M","1798-11-03","VA","Democrat",1,1847-12-06,1851-03-03
"James Mason","M","1798-11-03","VA","Democrat",1,1851-12-01,1857-03-03
"James Mason","M","1798-11-03","VA","Democrat",1,1857-12-07,1861-12-31
"Amos Nourse","M","1794-12-17","ME","Republican",1,1857-12-07,1857-12-31
"Trusten Polk","M","1811-05-29","MO","Democrat",1,1857-12-07,1863-03-03
"James Simmons","M","1795-09-10","RI","Whig",2,1841-05-31,1847-03-03
"James Simmons","M","1795-09-10","RI","Republican",1,1857-12-07,1863-03-03
"John Thomson","M","1800-09-25","NJ","Democrat",1,1853-12-05,1857-03-03
"John Thomson","M","1800-09-25","NJ","Democrat",1,1857-12-07,1863-03-03
"James Chesnut","M","1815-01-18","SC","Democrat",2,1858-01-01,1861-03-03
"Thomas Clingman","M","1812-07-27","NC","Democrat",3,1858-01-01,1861-03-03
"Arthur Hayne","M","1788-03-12","SC","Democrat",2,1858-01-01,1859-03-03
"Henry Rice","M","1816-11-29","MN","Democrat",1,1858-01-01,1863-03-03
"Matthias Ward","M","1805-10-13","TX","Democrat",1,1858-01-01,1859-12-31
"Judah Benjamin","M","1811-08-06","LA","Democrat",2,1853-12-05,1859-03-03
"Judah Benjamin","M","1811-08-06","LA","Democrat",2,1859-12-05,1861-12-31
"Kinsley Bingham","M","1808-12-16","MI","Republican",2,1859-12-05,1861-12-31
"Thomas Bragg","M","1810-11-09","NC","Democrat",2,1859-12-05,1861-12-31
"Albert Brown","M","1813-05-31","MS","Democrat",2,1854-01-01,1859-03-03
"Albert Brown","M","1813-05-31","MS","Democrat",2,1859-12-05,1861-12-31
"Clement Clay","M","1816-12-13","AL","Democrat",2,1853-12-05,1859-03-03
"Clement Clay","M","1816-12-13","AL","Democrat",2,1859-12-05,1861-12-31
"Stephen Douglas","M","1813-04-23","IL","Democrat",2,1847-12-06,1853-03-03
"Stephen Douglas","M","1813-04-23","IL","Democrat",2,1853-12-05,1859-03-03
"Stephen Douglas","M","1813-04-23","IL","Democrat",2,1859-12-05,1861-12-31
"John Hale","M","1806-03-31","NH","Free Soil",2,1847-12-06,1853-03-03
"John Hale","M","1806-03-31","NH","Republican",2,1855-12-03,1859-03-03
"John Hale","M","1806-03-31","NH","Republican",2,1859-12-05,1865-03-03
"Henry Haun","M","1815-01-18","CA","Democrat",1,1859-12-05,1861-03-03
"John Hemphill","M","1803-12-18","TX","Democrat",2,1859-12-05,1861-12-31
"Robert Hunter","M","1809-04-21","VA","Democrat",2,1847-12-06,1853-03-03
"Robert Hunter","M","1809-04-21","VA","Democrat",2,1853-12-05,1859-03-03
"Robert Hunter","M","1809-04-21","VA","Democrat",2,1859-12-05,1861-12-31
"Joseph Lane","M","1801-12-14","OR","Democrat",3,1859-12-05,1861-03-03
"John McRae","M","1815-01-10","MS","Democrat",1,1851-12-01,1853-03-03
"Alfred Nicholson","M","1808-08-31","TN","Democrat",1,1840-01-01,1843-03-03
"Alfred Nicholson","M","1808-08-31","TN","Democrat",2,1859-12-05,1861-12-31
"Lazarus Powell","M","1812-10-06","KY","Democrat",2,1859-12-05,1865-03-03
"William Sebastian","M","","AR","Democrat",2,1848-01-01,1853-03-03
"William Sebastian","M","","AR","Democrat",2,1853-12-05,1859-03-03
"William Sebastian","M","","AR","Democrat",2,1859-12-05,1861-12-31
"Delazon Smith","M","1816-10-05","OR","Democrat",2,1859-12-05,1859-12-31
"John Ten Eyck","M","1814-03-12","NJ","Republican",2,1859-12-05,1865-03-03
"Robert Toombs","M","1810-07-02","GA","Democrat",2,1853-12-05,1859-03-03
"Robert Toombs","M","1810-07-02","GA","Democrat",2,1859-12-05,1861-12-31
"Louis Wigfall","M","1816-04-21","TX","Democrat",1,1859-12-05,1861-12-31
"Edward Baker","M","1811-02-24","OR","Republican",2,1860-01-01,1861-12-31
"Milton Latham","M","1827-05-23","CA","Democrat",1,1860-01-01,1863-03-03
"John Breckinridge","M","1821-01-16","KY","Democrat",3,1861-07-04,1861-12-31
"Orville Browning","M","1806-02-10","IL","Republican",2,1861-07-04,1863-12-31
"John Carlile","M","1817-12-16","VA","Unionist",2,1861-07-04,1865-03-03
"Salmon Chase","M","1808-01-13","OH","Free Soil",3,1849-12-03,1855-03-03
"Salmon Chase","M","1808-01-13","OH","Republican",3,1861-07-04,1861-12-31
"Daniel Clark","M","1809-10-24","NH","Republican",3,1857-12-07,1867-03-03
"Jacob Collamer","M","1791-01-08","VT","Republican",3,1855-12-03,1865-12-31
"Thomas Corwin","M","1794-07-29","OH","Whig",1,1845-12-01,1851-03-03
"Edgar Cowan","M","1815-09-19","PA","Republican",3,1861-07-04,1867-03-03
"John Crittenden","M","1787-09-10","KY","Republican",2,1817-12-01,1819-12-31
"John Crittenden","M","1787-09-10","KY","Whig",2,1835-12-07,1841-03-03
"John Crittenden","M","1787-09-10","KY","Whig",3,1842-01-01,1849-03-03
"John Crittenden","M","1787-09-10","KY","American",3,1855-12-03,1861-03-03
"Lafayette Foster","M","1806-11-22","CT","Republican",3,1855-12-03,1867-03-03
"Ira Harris","M","1802-05-31","NY","Republican",3,1861-07-04,1867-03-03
"Waldo Johnson","M","1817-09-16","MO","Democrat",3,1861-07-04,1863-03-03
"Henry Lane","M","1811-02-24","IN","Republican",3,1861-07-04,1867-03-03
"James McDougall","M","1817-11-19","CA","Democrat",3,1861-07-04,1867-03-03
"Charles Mitchel","M","1815-09-19","AR","Democrat",3,1861-07-04,1861-12-31
"James Pearce","M","1805-12-14","MD","Whig",3,1843-12-04,1849-03-03
"James Pearce","M","1805-12-14","MD","Whig",3,1849-12-03,1855-03-03
"James Pearce","M","1805-12-14","MD","Democrat",3,1855-12-03,1863-03-03
"Benjamin Stark","M","1820-06-26","OR","Democrat",2,1861-07-04,1863-03-03
"Albert White","M","1803-10-24","IN","Whig",1,1839-12-02,1845-03-03
"David Wilmot","M","1814-01-20","PA","Republican",1,1861-07-04,1863-03-03
"Samuel Arnold","M","1821-04-12","RI","Republican",1,1862-01-01,1863-03-03
"Richard Field","M","1803-12-31","NJ","Republican",1,1862-01-01,1863-03-03
"Benjamin Harding","M","1823-01-04","OR","Democrat",2,1862-01-01,1865-03-03
"John Henderson","M","1826-11-16","MO","Republican",1,1862-01-01,1869-03-03
"Thomas Hicks","M","1798-09-02","MD","Unconditional Unionist",3,1862-01-01,1865-12-31
"Robert Wilson","M","","MO","Unionist",3,1862-01-01,1863-12-31
"Joseph Wright","M","1810-04-17","IN","Unionist",1,1862-01-01,1863-03-03
"Lemuel Bowden","M","1815-01-16","VA","Unionist",1,1863-12-07,1865-03-03
"Benjamin Brown","M","1826-05-28","MO","Republican",3,1863-12-07,1867-03-03
"John Conness","M","1821-09-22","CA","Republican",1,1863-12-07,1869-03-03
"James Dixon","M","1814-08-05","CT","Republican",1,1857-12-07,1863-03-03
"James Dixon","M","1814-08-05","CT","Republican",1,1863-12-07,1869-03-03
"James Doolittle","M","1815-01-03","WI","Republican",1,1857-12-07,1863-03-03
"James Doolittle","M","1815-01-03","WI","Republican",1,1863-12-07,1869-03-03
"Solomon Foot","M","1802-11-19","VT","Ind. Republican-Democrat",1,1851-12-01,1857-03-03
"Solomon Foot","M","1802-11-19","VT","Republican",1,1857-12-07,1863-03-03
"Solomon Foot","M","1802-11-19","VT","Republican",1,1863-12-07,1867-03-03
"Thomas Hendricks","M","1819-09-07","IN","Democrat",1,1863-12-07,1869-03-03
"Reverdy Johnson","M","1796-05-21","MD","Whig",1,1845-12-01,1849-12-31
"Reverdy Johnson","M","1796-05-21","MD","Democrat",1,1863-12-07,1869-03-03
"Edwin Morgan","M","1811-02-08","NY","Republican",1,1863-12-07,1869-03-03
"William Richardson","M","1811-01-16","IL","Democrat",2,1863-12-07,1865-03-03
"Peter Van Winkle","M","1808-09-07","WV","Republican",1,1863-12-07,1869-03-03
"Benjamin Wade","M","1800-10-27","OH","Ind. Republican-Democrat",1,1851-12-01,1857-03-03
"Benjamin Wade","M","1800-10-27","OH","Republican",1,1857-12-07,1863-03-03
"Benjamin Wade","M","1800-10-27","OH","Republican",1,1863-12-07,1869-03-03
"James Wall","M","1820-05-26","NJ","Democrat",1,1863-12-07,1863-12-31
"William Wright","M","1794-11-13","NJ","Democrat",2,1853-12-05,1859-03-03
"William Wright","M","1794-11-13","NJ","Democrat",1,1863-12-07,1867-03-03
"Nathan Farwell","M","1812-02-24","ME","Republican",2,1864-01-01,1865-03-03
"George Riddle","M","","DE","Democrat",1,1864-01-01,1867-12-31
"John Creswell","M","1828-11-18","MD","Unconditional Unionist",3,1865-12-04,1867-03-03
"William Fessenden","M","1806-10-16","ME","Republican",2,1854-01-01,1859-03-03
"William Fessenden","M","1806-10-16","ME","Republican",2,1859-12-05,1865-03-03
"William Fessenden","M","1806-10-16","ME","Republican",2,1865-12-04,1869-12-31
"James Grimes","M","1816-10-20","IA","Republican",2,1859-12-05,1865-03-03
"James Grimes","M","1816-10-20","IA","Republican",2,1865-12-04,1869-12-31
"James Guthrie","M","1792-12-05","KY","Democrat",2,1865-12-04,1869-03-03
"Jacob Howard","M","1805-07-10","MI","Republican",2,1862-01-01,1865-03-03
"Jacob Howard","M","1805-07-10","MI","Republican",2,1865-12-04,1871-03-03
"James Lane","M","1814-06-22","KS","Republican",2,1861-07-04,1865-03-03
"James Lane","M","1814-06-22","KS","Republican",2,1865-12-04,1867-03-03
"Daniel Norton","M","1829-04-12","MN","Democrat",2,1865-12-04,1871-03-03
"Willard Saulsbury","M","1820-06-02","DE","Democrat",2,1859-12-05,1865-03-03
"Willard Saulsbury","M","1820-06-02","DE","Democrat",2,1865-12-04,1871-03-03
"Waitman Willey","M","1811-10-18","VA","Unionist",1,1861-07-04,1863-03-03
"Waitman Willey","M","1811-10-18","WV","Unconditional Unionist",2,1863-12-07,1865-03-03
"Waitman Willey","M","1811-10-18","WV","Republican",2,1865-12-04,1871-03-03
"George Williams","M","1823-03-26","OR","Republican",2,1865-12-04,1871-03-03
"Richard Yates","M","1815-01-18","IL","Republican",2,1865-12-04,1871-03-03
"Alexander Cattell","M","1816-02-12","NJ","Republican",2,1866-01-01,1871-03-03
"George Fogg","M","1813-05-26","NH","Republican",3,1866-01-01,1867-03-03
"Joseph Fowler","M","1820-08-31","TN","Republican",2,1866-01-01,1871-03-03
"David Patterson","M","1818-02-28","TN","Democrat",1,1866-01-01,1869-03-03
"Edmund Ross","M","1826-12-07","KS","Republican",2,1866-01-01,1871-03-03
"James Bayard","M","1799-11-15","DE","Democrat",1,1851-12-01,1857-03-03
"James Bayard","M","1799-11-15","DE","Democrat",1,1857-12-07,1863-03-03
"James Bayard","M","1799-11-15","DE","Democrat",1,1863-12-07,1865-03-03
"James Bayard","M","1799-11-15","DE","Democrat",1,1867-03-04,1869-03-03
"Cornelius Cole","M","1822-09-17","CA","Republican",3,1867-03-04,1873-03-03
"Henry Corbett","M","1827-02-18","OR","Republican",3,1867-03-04,1873-03-03
"Garrett Davis","M","1801-09-10","KY","Democrat",3,1861-07-04,1873-03-03
"Charles Drake","M","1811-04-11","MO","Republican",3,1867-03-04,1871-03-03
"James Harlan","M","1820-08-26","IA","Republican",3,1855-12-03,1865-12-31
"James Harlan","M","1820-08-26","IA","Republican",3,1867-03-04,1873-03-03
"James Nye","M","1815-06-10","NV","Republican",3,1864-01-01,1873-03-03
"James Patterson","M","1823-07-02","NH","Republican",3,1867-03-04,1873-03-03
"Samuel Pomeroy","M","1816-01-03","KS","Republican",3,1861-07-04,1873-03-03
"John Thayer","M","1820-01-24","NE","Republican",2,1867-03-04,1871-03-03
"Lyman Trumbull","M","1813-10-12","IL","Republican",3,1855-12-03,1873-03-03
"Joseph Abbott","M","1825-07-15","NC","Republican",2,1868-01-01,1871-03-03
"John Harris","M","1825-12-18","LA","Republican",2,1868-01-01,1871-03-03
"Alexander McDonald","M","1832-04-10","AR","Republican",2,1868-01-01,1871-03-03
"Thomas Osborn","M","1833-03-09","FL","Republican",3,1868-01-01,1873-03-03
"John Pool","M","1826-06-16","NC","Republican",3,1868-01-01,1873-03-03
"Benjamin Rice","M","1828-05-26","AR","Republican",3,1868-01-01,1873-03-03
"Frederick Sawyer","M","1822-12-12","SC","Republican",3,1868-01-01,1873-03-03
"George Vickers","M","1801-11-19","MD","Democrat",3,1868-01-01,1873-03-03
"Willard Warner","M","1826-09-04","AL","Republican",2,1868-01-01,1871-03-03
"Adonijah Welch","M","1821-04-12","FL","Republican",1,1868-01-01,1869-03-03
"Arthur Boreman","M","1823-07-24","WV","Republican",1,1869-03-04,1875-03-03
"William Brownlow","M","1805-08-29","TN","Republican",1,1869-03-04,1875-03-03
"William Buckingham","M","1804-05-28","CT","Republican",1,1869-03-04,1875-03-03
"Eugene Casserly","M","1820-11-13","CA","Democrat",1,1869-03-04,1873-12-31
"Reuben Fenton","M","1819-07-04","NY","Liberal Republican",1,1869-03-04,1875-03-03
"Abijah Gilbert","M","1806-06-18","FL","Republican",1,1869-03-04,1875-03-03
"William Hamilton","M","1820-09-08","MD","Democrat",1,1869-03-04,1875-03-03
"Daniel Pratt","M","1813-10-26","IN","Republican",1,1869-03-04,1875-03-03
"Alexander Ramsey","M","1815-09-08","MN","Republican",1,1863-12-07,1875-03-03
"Carl Schurz","M","1829-03-02","MO","Liberal Republican",1,1869-03-04,1875-03-03
"John Scott","M","1824-07-24","PA","Republican",1,1869-03-04,1875-03-03
"William Sprague","M","1830-09-12","RI","Republican",1,1863-12-07,1869-03-03
"William Sprague","M","1830-09-12","RI","Liberal Republican",1,1869-03-04,1875-03-03
"John Stockton","M","1826-08-02","NJ","Democrat",2,1865-12-04,1867-03-03
"John Stockton","M","1826-08-02","NJ","Democrat",1,1869-03-04,1875-03-03
"Charles Sumner","M","1811-01-06","MA","Ind. Republican-Democrat",1,1851-12-01,1857-03-03
"Charles Sumner","M","1811-01-06","MA","Republican",1,1857-12-07,1863-03-03
"Charles Sumner","M","1811-01-06","MA","Republican",1,1863-12-07,1869-03-03
"Charles Sumner","M","1811-01-06","MA","Liberal Republican",1,1869-03-04,1875-03-03
"Thomas Tipton","M","1817-08-05","NE","Republican",1,1867-03-04,1869-03-03
"Thomas Tipton","M","1817-08-05","NE","Liberal Republican",1,1869-03-04,1875-03-03
"Morton Wilkinson","M","1819-01-22","MN","Republican",2,1859-12-05,1865-03-03
"Adelbert Ames","M","1835-10-31","MS","Republican",1,1870-01-01,1875-03-03
"James Flanagan","M","1805-09-05","TX","Republican",1,1870-01-01,1875-03-03
"Morgan Hamilton","M","1809-02-25","TX","Republican",2,1870-01-01,1877-03-03
"James Howell","M","1816-07-04","IA","Republican",2,1870-01-01,1871-03-03
"Daniel Jewett","M","1807-09-14","MO","Republican",3,1870-01-01,1871-12-31
"John Lewis","M","1818-03-01","VA","Republican",1,1870-01-01,1875-03-03
"Hiram Revels","M","1827-09-27","MS","Republican",2,1870-01-01,1871-03-03
"James Alcorn","M","1816-11-04","MS","Republican",2,1871-03-04,1877-03-03
"Francis Blair","M","1821-02-19","MO","Democrat",3,1871-03-04,1873-03-03
"Alexander Caldwell","M","1830-03-01","KS","Republican",2,1871-03-04,1873-12-31
"Powell Clayton","M","1833-08-07","AR","Republican",2,1871-03-04,1877-03-03
"Henry Cooper","M","1827-08-22","TN","Democrat",2,1871-03-04,1877-03-03
"Aaron Cragin","M","1821-02-03","NH","Republican",2,1865-12-04,1877-03-03
"Frederick Frelinghuysen","M","1817-08-04","NJ","Republican",1,1866-01-01,1869-03-03
"Frederick Frelinghuysen","M","1817-08-04","NJ","Republican",2,1871-03-04,1877-03-03
"George Goldthwaite","M","1809-12-10","AL","Democrat",2,1871-03-04,1877-03-03
"Joshua Hill","M","1812-01-10","GA","Republican",3,1871-03-04,1873-03-03
"Phineas Hitchcock","M","1831-11-30","NE","Republican",2,1871-03-04,1877-03-03
"James Kelly","M","1819-02-16","OR","Democrat",2,1871-03-04,1877-03-03
"Homer Miller","M","1814-04-29","GA","Democrat",2,1871-03-04,1871-12-31
"Lot Morrill","M","1813-05-03","ME","Republican",1,1861-07-04,1863-03-03
"Lot Morrill","M","1813-05-03","ME","Republican",1,1863-12-07,1869-03-03
"Lot Morrill","M","1813-05-03","ME","Republican",2,1869-03-04,1877-03-03
"Thomas Robertson","M","1823-08-03","SC","Republican",2,1868-01-01,1877-03-03
"Ozora Stearns","M","1831-01-15","MN","Republican",2,1871-03-04,1871-12-31
"John Stevenson","M","1812-05-04","KY","Democrat",2,1871-03-04,1877-03-03
"Joseph West","M","1822-09-19","LA","Republican",2,1871-03-04,1877-03-03
"Henry Wilson","M","1812-02-16","MA","Republican",2,1855-12-03,1859-03-03
"Henry Wilson","M","1812-02-16","MA","Republican",2,1859-12-05,1865-03-03
"Henry Wilson","M","1812-02-16","MA","Republican",2,1865-12-04,1873-12-31
"George Wright","M","1820-03-24","IA","Republican",2,1871-03-04,1877-03-03
"Willis Machen","M","1810-04-10","KY","Democrat",3,1872-01-01,1873-03-03
"Lewis Bogy","M","1813-04-09","MO","Democrat",3,1873-12-01,1877-12-31
"George Boutwell","M","1818-01-28","MA","Republican",2,1873-12-01,1877-03-03
"Simon Cameron","M","1799-03-08","PA","Democrat",3,1845-12-01,1849-03-03
"Simon Cameron","M","1799-03-08","PA","Republican",1,1857-12-07,1861-12-31
"Simon Cameron","M","1799-03-08","PA","Republican",3,1867-03-04,1873-03-03
"Simon Cameron","M","1799-03-08","PA","Republican",3,1873-12-01,1877-12-31
"Simon Conover","M","1840-09-23","FL","Republican",3,1873-12-01,1879-03-03
"Robert Crozier","M","1827-10-13","KS","Republican",2,1873-12-01,1875-03-03
"George Dennis","M","1822-04-08","MD","Democrat",3,1873-12-01,1879-03-03
"Stephen Dorsey","M","1842-02-28","AR","Republican",3,1873-12-01,1879-03-03
"Orris Ferry","M","1823-08-15","CT","Republican",3,1867-03-04,1873-03-03
"Orris Ferry","M","1823-08-15","CT","Republican",3,1873-12-01,1875-12-31
"John Hager","M","1818-03-12","CA","Democrat",1,1873-12-01,1875-03-03
"Timothy Howe","M","1816-02-24","WI","Republican",3,1861-07-04,1873-03-03
"Timothy Howe","M","1816-02-24","WI","Republican",3,1873-12-01,1879-03-03
"Thomas McCreery","M","1816-12-12","KY","Democrat",2,1868-01-01,1871-03-03
"Thomas McCreery","M","1816-12-12","KY","Democrat",3,1873-12-01,1879-03-03
"Augustus Merrimon","M","1830-09-15","NC","Democrat",3,1873-12-01,1879-03-03
"Oliver Morton","M","1823-08-04","IN","Republican",3,1867-03-04,1873-03-03
"Oliver Morton","M","1823-08-04","IN","Republican",3,1873-12-01,1877-12-31
"James Nesmith","M","1820-07-23","OR","Democrat",3,1861-07-04,1867-03-03
"Richard Oglesby","M","1824-07-25","IL","Republican",3,1873-12-01,1879-03-03
"John Patterson","M","1830-08-08","SC","Republican",3,1873-12-01,1879-03-03
"Aaron Sargent","M","1827-09-28","CA","Republican",3,1873-12-01,1879-03-03
"George Spencer","M","1836-11-01","AL","Republican",3,1868-01-01,1873-03-03
"George Spencer","M","1836-11-01","AL","Republican",3,1873-12-01,1879-03-03
"Bainbridge Wadleigh","M","1831-01-04","NH","Republican",3,1873-12-01,1879-03-03
"James Harvey","M","1833-09-21","KS","Republican",2,1874-01-01,1877-03-03
"Henry Pease","M","1835-02-19","MS","Republican",1,1874-01-01,1875-03-03
"William Washburn","M","1820-01-31","MA","Republican",1,1874-01-01,1875-03-03
"Newton Booth","M","1825-12-30","CA","Republican",1,1875-12-06,1881-03-03
"Blanche Bruce","M","1841-03-01","MS","Republican",1,1875-12-06,1881-03-03
"Ambrose Burnside","M","1824-05-23","RI","Republican",1,1875-12-06,1881-03-03
"Allen Caperton","M","1810-11-21","WV","Democrat",1,1875-12-06,1877-03-03
"Isaac Christiancy","M","1812-03-12","MI","Republican",1,1875-12-06,1879-12-31
"James English","M","1812-03-13","CT","Democrat",3,1875-12-06,1877-03-03
"Hannibal Hamlin","M","1809-08-27","ME","Democrat",1,1848-01-01,1851-03-03
"Hannibal Hamlin","M","1809-08-27","ME","Democrat",1,1851-12-01,1857-03-03
"Hannibal Hamlin","M","1809-08-27","ME","Republican",1,1857-12-07,1861-12-31
"Hannibal Hamlin","M","1809-08-27","ME","Republican",1,1869-03-04,1875-03-03
"Hannibal Hamlin","M","1809-08-27","ME","Republican",1,1875-12-06,1881-03-03
"Andrew Johnson","M","1808-12-29","TN","Democrat",1,1857-12-07,1863-03-03
"Andrew Johnson","M","1808-12-29","TN","Democrat",1,1875-12-06,1875-12-31
"Francis Kernan","M","1816-01-14","NY","Democrat",1,1875-12-06,1881-03-03
"David Key","M","1824-01-27","TN","Democrat",1,1875-12-06,1877-12-31
"Joseph McDonald","M","1819-08-29","IN","Democrat",1,1875-12-06,1881-03-03
"Theodore Randolph","M","1826-06-24","NJ","Democrat",1,1875-12-06,1881-03-03
"William Sharon","M","1821-01-09","NV","Republican",1,1875-12-06,1881-03-03
